GENE	ES_A549
MLLT7	-0.71
PSMA8	0.37
PPP2R2B	NA
WHSC1L1	0.4
NCL	-0.68
OR2T4	0.28
LSM6	-0.68
MPZ	-0.6
ERO1L	-0.54
OXA1L	-0.61
OXTR	-0.62
CAPN2	-0.62
MGAT4A	-0.61
SLC24A4	0.59
PTPRU	0.53
FLJ16008	-0.82
CX40.1	0.48
EPB41	0.41
PGLYRP2	-0.38
LOC285697	-0.37
BLZF1	0.75
CNTN5	NA
BNIP2	-0.59
ENTPD7	-0.61
BTD	NA
ARL8A	0.45
ABHD5	0.56
IL1F10	-0.64
NME5	-0.54
TRIP10	-0.57
EIF1	-0.88
POMT2	0.75
CLP1	-0.63
DLG1	-0.79
ZCCHC8	0.53
ZNF497	0.47
GTF2H5	-0.57
KCTD15	-0.7
ACOX1	NA
PRPF8	-0.63
EOMES	NA
CTSK	NA
GJB7	0.51
HAO1	0.43
MTX2	0.43
TAF3	-0.43
SFRS16	0.42
SH2D3C	0.52
OPA1	-0.85
SOCS3	-0.48
ZNF117	0.32
CDK6	-0.48
EIF4A3	-0.69
NT5C1A	-0.7
RGS8	NA
THOC6	-0.54
SULT1C2	0.48
TOB1	-0.56
NGEF	-0.49
RHBDL2	0.48
HCN4	0.36
ARHGAP26	-0.61
WDR79	-0.57
ALPPL2	0.44
DBF4	-0.7
DLC1	-0.85
FANCD2	NA
TRAF5	-0.85
GPC3	-0.62
PGAP1	NA
MAP3K15	NA
CEACAM6	-0.73
TESK2	0.37
SLC24A2	NA
ITGB4	0.63
SYP	NA
CACNA1F	NA
CYP21A2	NA
SEC22C	-0.59
SF3B4	-0.61
NT5C	-0.64
TREML1	-0.58
LHX9	-0.39
PRRG4	-0.33
GFRA1	-0.59
NARG1L	NA
CDH2	-0.44
COL1A1	0.65
UGT1A6	NA
HDAC6	-0.69
UBE2V1	-0.61
NUB1	0.34
CENTD3	NA
PSTPIP2	-0.62
MMAB	-0.65
TMC5	0.82
MPP2	-0.75
PRKACA	-0.44
EPRS	0.39
ARFGEF1	0.25
GPR172B	-0.46
SERPINB4	0.35
MMD2	-0.66
UBL4A	-0.65
KLRB1	0.38
ZNF155	-0.84
OR5R1	0.54
LOC201164	-0.36
TLR3	0.5
ALPK1	-0.49
SLC38A5	-0.52
NXF3	0.36
UBE2O	NA
CNKSR2	-0.65
AASDHPPT	-0.59
AGL	-0.5
IL17D	0.91
GCGR	NA
SYNE2	-0.62
EXOSC4	-0.58
ATXN7	-0.83
STK38L	-0.62
PEMT	-0.82
CDKN1A	0.32
RHEBL1	-0.68
ZNF600	-0.42
MFHAS1	-0.45
LHX2	-0.64
TNFRSF18	-0.5
TMEM16A	-0.58
ZNF35	-0.84
CUL5	-0.61
ZNF471	-0.7
INPP4B	-0.33
RABIF	0.74
CBLN1	-0.4
ABCG5	0.42
PCDHA2	-0.55
LMBR1	-0.57
SWAP70	-0.56
PDZK1IP1	-0.6
TNFRSF1A	-0.82
UBE2Q1	-0.84
C20ORF152	0.79
PRL	-0.31
IL1R2	-0.51
PIK3CB	NA
PTDSS1	0.4
MTMR10	-0.6
MSN	0.69
AFMID	-0.49
SIM2	-0.62
KLK7	-0.46
EIF2B3	-0.74
OR5M10	-0.83
BCL2L10	0.56
HNRPC	-0.71
LAPTM4A	0.74
MBL2	-0.77
CLTCL1	0.7
PTAFR	-0.52
BAD	NA
NR2E1	NA
EXOC5	-0.63
SGOL1	-0.63
WDR33	-0.84
ACOT12	-0.62
HCLS1	-0.69
CAPZB	-0.72
PTK6	0.47
RPS3A	-0.82
MGC19604	-0.39
BBOX1	NA
LOC342784	0.81
SCN7A	-0.61
GOT2	0.68
AMY1A	-0.54
MED31	-0.72
ZNF322B	-0.61
MGAT5	-0.56
THRAP2	-0.68
ZNF274	-0.74
PICK1	0.31
FANCL	-0.84
FGF23	0.31
ZCCHC17	NA
IRAK4	-0.36
HIST1H2BC	-0.48
PCDHA13	-0.69
ZNF397	NA
PSMB8	-0.54
CIB3	0.47
NR2F2	-0.79
PFDN5	-0.65
HTATIP2	-0.88
ATP6V0E2	0.6
LSM5	-0.77
CLEC1A	-0.84
BRUNOL5	-0.56
USP2	NA
ABHD4	0.7
DUSP14	0.74
PPM1B	0.81
OR9Q2	0.46
LOC442074	-0.44
LOC441754	0.48
HEL308	-0.62
CCNT2	-0.73
CHRNA1	0.52
SYT3	0.32
LOC387870	-0.55
PRKAA1	-0.66
GK5	-0.74
DNAJB6	-0.75
SHFM1	-0.61
SH3TC1	0.44
LOC131973	0.73
LOC222967	0.43
ARHGEF17	-0.36
ADPGK	0.73
B3GAT3	-0.84
CYBB	-0.53
SPINK4	-0.59
OR52L1	-0.57
NCF4	-0.58
LEPREL2	NA
ZNF613	-0.53
SOHLH1	-0.63
NRL	-0.52
MTO1	NA
CDH7	-0.59
KCNH5	-0.81
KIR2DL5A	0.35
TAF10	-0.59
BCCIP	NA
HPCAL1	0.32
PISD	-0.65
ZNF556	0.51
OCA2	0.81
MDK	-0.73
EHD1	-0.32
DDX43	-0.42
CACNA1C	-0.59
NSD1	NA
PCDHGB3	-0.69
TAS1R2	NA
LOC220686	-0.62
GHSR	0.57
PCDHB16	0.36
PLEK	-0.63
NUP98	-0.83
CRLF2	0.81
FSTL5	0.5
IRF5	-0.68
ARF5	NA
EID2	-0.74
BZRAP1	-0.72
OR2T10	-0.71
PANK3	0.46
POLG2	-0.77
HSD17B10	-0.84
SMARCC2	NA
SIAH1	-0.71
FHIT	-0.45
SERPINB13	-0.47
NR2C1	-0.44
RP3-340N1.3	-0.46
BIRC7	-0.44
ROCK2	NA
FMO6P	0.52
PHKA1	0.29
ONECUT1	-0.66
SNW1	-0.54
GNA15	0.3
CXCL5	NA
PKIB	-0.59
ABCC13	-0.76
HNRPA3P1	0.37
CDS1	-0.52
BRUNOL6	NA
CTTN	0.66
SIAE	NA
ACOX2	0.5
BCL7A	-0.34
PTPN12	0.39
ACOT7	-0.39
HLA-A	0.36
DUSP11	NA
NUP107	-0.59
NKX1-1	0.43
CSDA	0.73
LOC389842	-0.54
ADCY3	-0.5
MUS81	-0.52
VSX1	NA
FLJ20152	NA
KCNK10	NA
SFTPD	NA
SSX3	0.41
SFRS8	-0.46
NUAK2	-0.74
CD1C	0.53
B3GNT8	-0.59
TSG101	-0.58
PLA2G4B	0.6
AARS	NA
HSPE1	-0.81
CCL3	-0.84
BTK	-0.64
TOPORS	0.62
CDC40	-0.73
VPS13B	-0.7
MAPK8	-0.68
SRM	NA
MGC70870	NA
DUS3L	-0.56
DEK	-0.75
PLXNA2	0.67
OPRD1	NA
CYB561	0.45
CRH	0.89
INHBB	0.64
AMY2B	-0.7
GPR22	-0.53
TNFRSF11B	-0.84
POLQ	NA
CXADR	NA
REST	-0.56
CCNC	-0.79
ATP11C	-0.58
RPGR	NA
AMBP	NA
KLRC2	-0.31
APOA5	0.72
DTX3L	-0.73
GPS1	-0.62
R3HDM1	-0.47
SPRY1	-0.84
KCNH7	-0.64
NXF2	-0.51
CREB3L4	-0.64
SI	NA
TRAIP	-0.58
SLC43A1	0.61
PRPF40B	-0.34
WDR90	-0.39
ALDH1A2	NA
FLJ25006	-0.42
SLC7A11	NA
DARC	0.32
HOXD4	-0.84
BFAR	-0.48
YKT6	NA
CCL15	NA
CLINT1	NA
RNF144	NA
SH3BP1	-0.44
HECTD1	0.43
TBC1D9	-0.44
FN1	0.35
TYK2	-0.71
BTN1A1	0.33
SLC39A5	NA
PAQR6	-0.57
FAM105A	-0.63
ZNF367	-0.56
NOTCH4	-0.69
DLGAP1	-0.74
SLC25A32	0.4
LPA	-0.37
PDE11A	0.3
CRYGD	-0.52
IMPDH2	-0.62
ANKRD30A	NA
ATP5F1	NA
IL23A	NA
PTF1A	0.34
C12ORF30	NA
GPR37	-0.55
NEK9	NA
GCLC	-0.58
IFI16	-0.73
PF4	0.79
ARHGAP11A	-0.66
IL1RAPL1	NA
POLI	-0.58
SLC16A7	0.35
SLC16A4	-0.45
CACNB3	NA
TMC1	-0.58
CEACAM8	-0.69
RAB7L1	-0.55
PSMD13	-0.72
CDC42SE2	-0.71
FUT10	-0.29
NUTF2	-0.56
DLST	0.35
ZNF559	-0.69
OR2D2	-0.59
CXCL2	-0.7
SRGAP3	-0.76
PIP5K1B	0.72
GIPR	-0.71
DSG3	0.29
TRIB2	NA
ABCB7	-0.61
PHB2	-0.67
LOC339951	0.53
KLF13	0.4
GNL2	-0.4
SERPINF1	-0.79
ACE2	0.31
CTDSPL	0.43
INHA	-0.67
HEPH	-0.76
SMARCE1	NA
HOXA6	0.66
THTPA	-0.55
DIRAS1	NA
GIF	-0.78
EEF2K	-0.6
EIF1AX	-0.75
RCSD1	0.44
UNC5D	NA
PRSS23	-0.47
ATG12	NA
RLF	-0.52
MPN2	-0.72
UNC13B	-0.63
COX17	-0.83
LIAS	-0.68
B3GALNT1	0.48
OR52E8	0.51
CCL20	-0.38
MRPL45	-0.6
XDH	-0.7
HNMT	-0.61
DUSP26	0.72
ERCC8	-0.71
C9ORF86	0.54
RPL31	-0.59
FOXM1	-0.65
SURF1	0.6
NUDT21	-0.44
STRN3	NA
NLGN4Y	-0.59
DEFA3	-0.58
NR2F1	-0.71
SMG6	-0.59
FBXL6	0.46
GPR155	0.78
FLCN	0.49
SENP3	0.5
MAT2A	NA
HK1	NA
FBXW7	0.46
PRPF4	-0.59
CLYBL	0.26
PTPLAD1	-0.75
FOXD1	0.5
USP8	0.42
MICB	NA
TPK1	-0.62
MGC29891	-0.62
RASGRP1	-0.87
VCP	NA
HINT1	0.71
TOLLIP	-0.67
PI3	NA
PARP11	NA
HSD17B6	-0.46
TNFAIP3	-0.48
C6ORF107	-0.83
CD46	-0.69
BTF3L1	-0.51
EFHB	-0.77
PDGFRA	NA
ARHGEF19	-0.56
CDH15	0.37
AKAP7	-0.71
PRPF38A	-0.68
COX11	-0.36
ALKBH7	-0.4
KLHL9	-0.83
GCM2	0.56
PPP1R10	0.62
PI4KII	-0.65
KCNC1	-0.53
SMAD4	-0.62
OR1S2	-0.6
ADM	NA
PTGDR	NA
PTGER4	-0.53
CDC5L	-0.64
ESPL1	-0.7
CLCN5	-0.34
SLC25A24	-0.4
NCOA4	-0.77
HIPK3	-0.42
HLA-DMB	-0.66
MN1	-0.48
PPAT	0.34
HSD17B2	NA
PKN2	-0.62
TAS2R50	0.71
BCAT1	-0.87
RXRG	-0.68
ZIC2	-0.48
FKBP14	0.47
DMRTA2	-0.67
EIF2C2	0.78
MAPKBP1	-0.7
NDUFS5	0.28
ADAM9	-0.57
FIGF	-0.83
ARL2	-0.48
JUND	-0.65
HYLS1	-0.68
ARHGEF4	-0.66
GAA	-0.39
ARX	0.61
ITM2B	0.36
APBB1	-0.81
HDAC9	NA
FUK	-0.56
MCPH1	-0.83
NOTCH2	NA
PPP1R3F	0.78
ZNRF2	-0.77
AGTR2	-0.4
FER	-0.48
HBE1	-0.4
PTGS2	0.48
KCNK16	-0.47
BBC3	NA
ZNF226	-0.66
IGF2	0.54
SULT2A1	-0.67
GAPVD1	-0.87
SERPINB7	0.46
EDN1	-0.6
HSPA9	-0.69
TMEFF1	-0.35
SLC7A9	0.54
GRM1	NA
PHLPP	-0.46
RNPEPL1	-0.5
AK3	-0.7
ALDOC	-0.72
HMGN3	0.75
HSPG2	-0.57
HSDL2	-0.83
DUSP10	0.56
IL31RA	-0.42
CXCL10	-0.44
GSTM1	0.38
SSR1	-0.65
LBR	-0.47
RAD1	-0.6
RCN2	-0.65
PABPN1	-0.66
IGF2BP1	-0.68
KCNQ1	NA
TIMP4	-0.62
ACSL6	0.56
OR51B4	-0.71
ARRB1	NA
CEBPZ	-0.36
GPRASP2	0.77
SYF2	-0.41
P2RY6	NA
GSN	NA
PIK3R3	-0.42
NLRP3	-0.53
ORC2L	-0.65
INHBA	-0.72
NEIL3	-0.71
USP13	-0.59
ZIM2	NA
KIAA0226	-0.77
XCL2	-0.72
MFN2	0.29
PTGIR	0.27
CTLA4	0.38
DNAJB12	NA
TAZ	0.33
SERPINA10	-0.63
TRIM7	0.7
PAX1	-0.64
GRINA	0.34
ACADVL	-0.65
ING1	-0.56
RPP40	-0.72
TAF4B	-0.61
SFRS1	-0.68
ANK2	-0.6
LRMP	-0.76
RAB2B	0.27
TNIK	0.49
NPAS1	NA
F2R	NA
CIITA	-0.61
DCN	-0.51
COX5A	-0.57
CSN1S1	-0.77
EPC1	-0.7
EIF2C3	NA
TMEM11	-0.6
CLPS	NA
KCNJ9	0.86
RPS29	-0.85
PPP1R3D	NA
ESD	-0.86
AP2M1	-0.57
ATP13A2	0.57
CD1A	-0.68
GPR157	-0.72
USP47	-0.77
DLEU2	NA
SCRIB	NA
MAS1L	-0.62
UGP2	NA
SUPT6H	-0.76
LOC387927	0.55
LOC442362	0.85
SPOCD1	-0.61
CAMK4	-0.44
BCL11A	-0.45
IGFBP4	0.42
TPO	NA
LOC442470	-0.63
COX6B2	NA
XRCC5	-0.86
POP5	-0.54
LOC390683	0.39
ECHS1	0.45
SMAD5	0.69
CD2BP2	-0.83
GPR23	-0.63
CHN2	-0.61
ZBTB48	-0.82
RARA	0.73
CD200R1	0.32
SUPT3H	-0.47
FOXRED2	-0.55
PRB1	0.33
POLD1	NA
ZP2	NA
LSM4	-0.66
CKMT1B	-0.83
PCDHGB1	NA
SLC15A2	-0.4
MTA3	-0.71
C1QC	-0.62
OIT3	NA
MAP3K2	-0.55
FBXL20	-0.59
ABCA9	0.69
TOM1L1	0.43
ACTC1	-0.61
FEM1B	-0.86
NUDT12	-0.77
EIF3S2	-0.77
MYLC2PL	NA
STX8	-0.42
FKHL18	0.69
TGFBR2	-0.41
ARG2	0.39
PAN3	NA
SLC26A4	-0.71
HNRPK	-0.49
KLRC3	0.33
SCARA3	-0.55
METTL1	-0.82
OFD1	-0.82
CYP1A1	NA
FSHB	0.51
GNG11	-0.68
TAS2R39	0.4
COL11A1	0.61
C14ORF166	-0.79
UST	-0.65
RABGGTA	0.41
SERPINB11	-0.82
CCNL2	0.34
CDC42EP4	0.69
PSMB5	0.3
KIAA1799	NA
WDR69	-0.75
DAK	-0.82
CHM	NA
PSMA2	-0.66
WNK1	-0.7
B3GALT5	-0.77
GNGT2	NA
LGR4	-0.68
TLR6	-0.41
NUDT5	-0.86
TSSK4	0.45
S100A13	NA
IL20RA	-0.53
CART1	-0.51
NAT5	-0.54
PTPN18	NA
CNGA2	0.68
SRBD1	-0.7
PROCR	-0.65
CUL4B	-0.68
TNFRSF6B	-0.71
PHF12	-0.7
TRA2A	-0.39
CHKA	-0.43
FGF17	-0.62
MAGI3	-0.63
SLC8A1	-0.62
TPH1	NA
CDH18	0.61
MANBAL	-0.47
ESM1	-0.41
IL1RAPL2	-0.41
CD151	-0.53
ETS1	0.64
RBPJL	NA
NDUFB9	-0.82
ANAPC4	-0.54
BCL9	NA
SNAPC1	-0.58
ELAVL3	NA
CCRL1	NA
PCDHGA12	-0.75
SLC38A6	0.5
ZNF673	-0.47
SAFB2	-0.69
TOX	-0.82
TLR9	-0.6
LCMT2	0.5
ARF4	-0.84
FPGT	-0.33
RAB15	0.61
CLK2	-0.58
IRAK3	-0.63
TAS2R41	-0.49
ZNF256	-0.65
GOPC	-0.56
TRIT1	0.65
INCENP	NA
ZNF232	-0.82
TNFSF13B	NA
MDM2	-0.63
RSC1A1	-0.45
CALML6	NA
NPTX1	NA
KIDINS220	-0.77
RIN3	-0.48
KRR1	-0.75
PVRL2	-0.53
TOP2B	-0.63
ICK	-0.63
CAD	NA
RHOC	0.54
ACAT2	-0.82
HPCAL4	NA
PDGFB	0.68
NUAK1	-0.31
BPNT1	-0.64
PRKRA	-0.71
TNFRSF13B	-0.82
BCL2L13	-0.62
APOE	NA
TRAF3	-0.54
STRN	-0.68
PRDM10	NA
KCNAB2	0.68
DDX46	-0.63
TNFRSF8	0.58
FPRL2	-0.41
MEF2D	-0.4
RNASE9	-0.54
ENPP5	-0.72
SIRT2	NA
IRX2	-0.53
SEC23IP	-0.59
CHERP	-0.72
ARD1A	NA
PSMD10	0.58
STEAP4	0.74
ZNF33B	NA
MEN1	-0.69
GLDC	-0.59
F3	-0.49
RP11-38O23.2	-0.55
SNAPAP	NA
OASL	-0.52
PDIA4	-0.51
GABRA6	-0.7
ZNF707	0.67
EHHADH	-0.63
COPS8	-0.65
GOSR2	NA
MSI1	NA
PPBP	-0.6
RNF8	-0.66
COX7A2L	0.42
QARS	-0.68
BHLHB2	NA
CARS	-0.71
ALOX5AP	-0.72
HLA-B	0.67
GMIP	-0.59
BIRC4	-0.78
ARHGAP10	-0.59
TMED9	NA
ZNF79	-0.34
YME1L1	NA
IL2RG	0.67
IL1F7	-0.42
CDH1	-0.82
ZNF277P	-0.62
OR2L3	0.3
ABHD12	NA
GSS	-0.59
ASMTL	0.63
HTR3D	NA
AIPL1	NA
PKDREJ	NA
CDS2	-0.39
IL1F9	-0.62
SLC5A11	-0.47
SERPINA3	0.38
ADCK5	-0.85
CPVL	-0.71
ARF6	-0.63
RAB28	-0.8
SLC6A15	-0.73
DCST1	-0.48
SNFT	NA
MOBK1B	-0.41
PKN1	-0.54
GDF8	0.3
HBQ1	-0.7
FABP4	-0.6
OR2D3	-0.6
CPSF3	-0.56
ANXA1	-0.85
FLT1	NA
MTMR6	0.55
CUL4A	0.67
BMP3	-0.45
NDUFA12L	-0.51
DAB1	NA
ZNF800	-0.5
SERPINA12	-0.5
GPR77	NA
EFHD1	-0.54
ORM2	-0.68
FLRT2	-0.7
ABCG2	NA
AVIL	-0.45
DHRSX	-0.44
PTPLAD2	-0.72
LOC440897	NA
SCAND2	0.74
GJA1	-0.54
GJA9	0.51
DPP6	-0.56
TDGF1	-0.66
MEF2B	0.37
CACNA2D4	-0.82
TAAR5	-0.29
NEIL1	0.74
ATP1A1	-0.76
DCHS2	-0.45
MDH2	-0.76
RAF1	-0.53
CLN6	NA
SERPINE2	-0.41
PRKCB1	-0.36
SLC11A1	0.39
TBX20	-0.66
B3GNT2	-0.59
PAX5	-0.73
VAMP3	-0.54
SYBL1	-0.82
HSPC148	NA
S100A2	-0.58
CYP4Z1	NA
ARHGEF6	-0.38
GK	0.54
SAP30	-0.49
SLC24A6	NA
LOC342541	NA
XCL1	-0.65
AP1GBP1	0.73
SAG	0.44
RPE	0.34
SRRM1	-0.42
JOSD1	-0.44
TTN	-0.45
TRAF4	NA
EFNB3	-0.82
ELMO2	-0.73
CD300E	0.29
GTF3C4	-0.75
GANAB	0.55
MGRN1	-0.37
MPPED2	-0.72
PGD	NA
SDF4	-0.59
ACSM2	NA
NPEPPS	-0.7
HOXD11	0.43
ACYP2	-0.8
PRKY	NA
MAP3K13	NA
CSN3	-0.34
PPARBP	-0.37
C1S	-0.6
TEF	NA
IFNA7	NA
FOXC2	0.66
FDPS	-0.53
BHLHB3	0.47
OR5T3	-0.68
NDUFB7	-0.63
ZNF682	-0.67
PLD1	-0.9
FUBP1	-0.61
FAM89B	-0.37
HEBP1	-0.54
CSNK1A1L	-0.55
TRIM68	NA
GUK1	-0.49
LY6H	-0.7
SLC35D1	NA
TM9SF1	-0.65
LRFN4	0.39
B3GALTL	-0.73
FGF21	-0.85
ZFAND5	-0.71
CBX5	0.45
UBE3C	-0.4
DPCR1	-0.82
CSF1	-0.55
SOCS1	0.59
GABARAPL1	NA
PCDHAC1	-0.71
SDHC	-0.52
GTPBP3	0.27
CLTC	-0.59
FEN1	NA
SMARCA2	NA
SLC35A3	-0.59
SF3A2	-0.78
HNRPF	-0.53
MAEL	-0.71
TFAP2C	-0.76
COX8A	0.44
TSN	-0.34
CTRL	-0.57
IL17F	-0.63
MFGE8	0.29
LILRA4	NA
PGCP	-0.79
ZNF223	-0.79
PAQR9	-0.58
PITPNC1	0.41
TPTEPS1	0.39
NFX1	0.36
KLHL2	-0.71
SRPX	-0.79
ARNTL	-0.73
SNIP1	-0.53
DNMT1	-0.66
IL1RL2	-0.6
LOC440063	0.66
ANXA13	0.34
CADM3	-0.54
P2RX2	NA
CAPN5	-0.69
PPIL1	-0.67
LYAR	-0.66
PRG3	-0.55
PDE9A	0.66
PFDN6	-0.48
PFKFB2	NA
RAD52	-0.59
BUB1B	NA
THOP1	-0.67
TTPA	0.5
HLA-DPA1	-0.58
TMED8	-0.69
KDR	-0.42
NME3	0.4
LOC340501	-0.67
LUC7L	0.55
NFKBIB	-0.69
PAFAH1B1	-0.67
MSI2	-0.79
PNCK	-0.59
PUS1	-0.56
IRF4	-0.81
FABP2	-0.63
ASAH2	-0.56
HMG4L	-0.39
ZNF423	0.61
SKAP2	0.66
PYGO2	-0.74
C9ORF58	-0.67
SCARF2	-0.56
PBX4	-0.55
MRPL37	-0.55
PPAP2A	NA
ILDR1	0.32
SMARCA5	-0.81
PTPRS	-0.23
ADAMTS12	-0.81
PTGES2	-0.48
KCNJ3	0.46
ZNF287	0.3
FZD4	-0.6
RPS6KA5	-0.46
RHOB	-0.62
CLNS1A	-0.76
ITPR3	-0.48
HTR1D	0.31
LOC375748	-0.65
CYCS	NA
LOC200810	NA
MAMDC2	NA
PTS	0.38
LY75	-0.65
CCL25	-0.49
DDX42	-0.53
LARS2	-0.77
LDHD	-0.35
CHD5	-0.65
FOXA1	-0.45
GNGT1	-0.5
AP3D1	NA
FZD10	-0.61
ENAM	-0.66
LDHAL6B	-0.59
LOC440591	-0.64
PSMD3	-0.63
SNRPD3	-0.8
TBR1	-0.44
LOC442370	0.55
AKAP9	-0.62
EDG3	-0.61
TXNDC5	-0.67
VIL2	NA
GBA	0.33
BCL2	0.36
HES5	NA
DSCR3	NA
FBXW8	0.48
PIGA	NA
CLTB	0.39
DGCR2	0.7
CHST9	-0.73
KIAA2018	NA
HESX1	-0.49
LOC391428	-0.63
TTC23	-0.72
MFI2	0.42
RYR3	0.31
IFNA1	NA
GTF3C1	-0.58
FASTK	0.47
PHACS	-0.6
C11ORF24	-0.75
TP53BP1	0.36
LTBP4	NA
IFNA16	-0.34
PRSS35	-0.73
HERC1	0.4
RNF43	0.71
AMPD3	NA
OR2C1	0.29
TTF1	-0.75
NPHP4	0.4
AIP	0.49
HLA-DRB4	-0.7
APOL2	-0.69
STK32B	-0.39
RPIA	0.65
HNRPA2B1	0.5
MDM4	-0.85
SNRP70	-0.61
SNRPA1	-0.58
RIPK5	-0.66
PCDH15	-0.63
CD163	NA
ST5	0.5
GALNT13	NA
SPRED1	-0.81
NDUFA13	-0.29
CSH1	-0.37
CNR2	-0.46
ORM1	0.59
TNF	0.33
PTAR1	0.43
TLK1	-0.81
GK2	-0.53
ANKK1	NA
LAMB3	0.71
MPL	-0.7
PCDHB10	NA
NR1I2	0.65
BDKRB1	-0.61
GATAD1	-0.59
RIOK1	-0.85
FCGR2C	0.45
GZMB	0.45
MBD3L1	-0.6
GPR6	0.47
MRC2	0.63
AP3S2	-0.69
GABRG1	NA
MKRN3	0.58
GAS6	0.62
CHRNB2	0.58
F2RL1	-0.4
BHMT2	-0.56
KCNN4	NA
ZNF33A	-0.68
AKAP10	0.65
LOC343705	-0.5
OLIG1	0.57
STK4	-0.61
CRYAA	0.47
FLJ39501	-0.79
CAST	NA
PRMT6	-0.47
SMPD2	0.38
CFLAR	NA
DNAJC10	-0.68
TRIM32	-0.72
HSD17B13	-0.62
BBS7	-0.67
SNX15	-0.68
PMP2	-0.56
MYST4	NA
CALCR	NA
PTEN	-0.64
DNM2	-0.55
EPO	0.56
MAFB	-0.61
CDC42BPA	NA
CHEK1	-0.51
DPF2	-0.69
DUS2L	NA
DHRS3	-0.57
GLRA2	NA
ASAH1	0.41
HBD	-0.55
LOC360030	-0.81
CCNB1IP1	0.6
PTGFRN	0.68
PCDHA3	NA
POLDIP3	-0.8
CYP4F3	-0.5
DPEP3	0.36
ARL5B	-0.62
CSGLCA-T	-0.69
TP53BP2	-0.52
TRPC3	0.64
KCNJ10	NA
CHST5	-0.62
IGFBP2	-0.74
SIRPG	0.42
TRPV1	0.57
ROR1	-0.29
SBF1	NA
COL9A1	0.4
RABL2A	-0.63
ZNF300	-0.81
PPP1R14B	-0.58
BOP1	-0.82
PSMB3	-0.59
STK40	NA
HSD17B4	NA
DDO	0.48
OR2H2	-0.51
FCMD	-0.81
MYH9	-0.48
RP4-691N24.1	0.36
PLCXD1	0.58
MAGED1	0.43
PNPLA8	0.38
PCDHGC3	0.4
USPL1	-0.75
SLC27A1	-0.68
NEK5	-0.71
TMC3	-0.61
RNF180	-0.81
HNRPL	NA
FUT6	0.28
SEC14L3	NA
CXCL11	-0.56
OR10H2	0.5
BCAR3	0.39
VCAN	-0.55
MADD	0.48
UCP1	-0.67
DDAH2	0.42
RNF125	-0.71
RFX3	0.51
WRNIP1	-0.7
MYL5	NA
GIMAP4	-0.84
RBM22	-0.41
AIFM3	0.64
TXNL4B	-0.8
LOC552891	0.7
NFYC	-0.81
EFHA1	-0.49
NT5C2	-0.57
YWHAH	NA
FCAR	NA
NFKBIA	0.64
UBE2G1	-0.51
CHRNB1	-0.65
CD22	NA
TLL2	-0.61
HNRPLL	-0.77
UBE4B	-0.41
PRPF18	NA
SFRS2IP	-0.53
HTR2A	-0.48
CDC2L2	NA
RIG	-0.84
GLMN	-0.65
TRIML1	0.64
RBL2	0.41
ZWILCH	-0.73
PIK3AP1	-0.39
PDCD1LG2	-0.73
LCAT	-0.44
PAK1IP1	-0.62
FBXL19	-0.5
HOMEZ	-0.81
B4GALNT1	-0.53
ATP6V0A1	-0.61
NTHL1	-0.53
NEK8	-0.66
PMPCB	-0.59
GGCX	0.64
CD3E	NA
MCM8	-0.34
GALNT3	-0.66
ID4	-0.52
DEFA1	0.4
DEPDC1B	-0.46
TLE1	-0.43
PFN2	NA
ABCA1	0.46
PLCG1	0.32
CYP4A22	-0.49
PNKD	NA
CAPNS1	NA
CTF1	NA
HMG20A	-0.35
MYL7	NA
MAP6	-0.52
EIF3S6	-0.81
SYNPO	0.42
ICAM1	-0.8
DUSP22	-0.59
IGBP1	-0.68
NEK1	0.62
TOP2A	-0.49
BAZ1A	-0.53
PXMP3	0.54
PPP1R11	-0.59
LOC56902	-0.81
GMPS	-0.75
RPS6KA2	-0.69
DSPP	-0.7
CD14	0.36
HACE1	NA
DNA2L	-0.55
CDH10	-0.63
HLXB9	-0.62
SLC17A6	-0.6
LRRC59	-0.7
VCPIP1	-0.64
BMP8A	0.48
ATP2B2	-0.57
SLC41A1	-0.46
FGG	-0.71
GALNT4	NA
ATP6V1A	NA
TOM1	-0.74
MECP2	-0.72
ICOSLG	NA
PGBD3	-0.45
CD247	-0.68
IL27RA	-0.55
STX3	-0.63
RAP2A	-0.57
PSMB1	-0.58
NDUFV2	-0.55
LOC400708	NA
ARL4A	-0.32
AKAP8	-0.34
AGA	-0.52
INHBC	-0.4
CES7	-0.47
FOXP1	NA
ZNF486	-0.58
ECHDC1	0.43
APBB1IP	-0.49
TNFRSF10A	-0.62
BCL2L12	-0.67
IPO4	-0.84
CENPO	-0.53
TAS2R38	-0.7
FGF22	-0.38
C6ORF118	-0.59
PTPRD	NA
GABRR2	-0.52
MLYCD	0.36
OSGEP	NA
TOP3A	0.77
PCDH11X	-0.5
FRS3	-0.5
OR3A1	0.33
LOC400696	0.33
RCL1	0.56
DCC	-0.8
ARG1	0.43
ITGA2B	-0.66
NPR1	-0.66
IL1A	-0.5
TRIM29	-0.67
CLIC4	-0.77
SUPT5H	NA
CREBL2	-0.7
PTCH2	-0.71
KPNA5	-0.38
ABCD3	0.5
MT1F	NA
NEU1	-0.46
EMR1	0.63
ZNF382	-0.73
PRKAR1A	-0.5
ZNF431	-0.71
FGF8	-0.54
OPLAH	0.46
PTPRN	0.29
RHBDF1	-0.53
ALG10	-0.8
BMP2KL	-0.32
SAT1	-0.61
