pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez
Chromatin modifying enzymes	187	71	4.39248451129255	0.170878459687124	0.497541414917001	ACTB;ACTL6A;ACTL6B;AEBP2;ARID4B;ATXN7;CHD3;CHD4;CSRP2BP;DMAP1;DOT1L;ELP6;EP300;EZH2;GATAD2B;HIST1H2AD;HIST1H2AH;HIST1H2BI;HIST1H2BM;HIST1H3C;HIST1H3I;HIST1H4B;HIST1H4H;HIST1H4J;HIST1H4K;HIST2H2AC;HIST3H2A;ING5;JADE1;KAT2B;KAT6B;KAT8;KDM1A;KDM1B;KDM3A;KDM3B;KDM4C;KDM4D;KDM5B;KDM7A;KMT2C;MBIP;MCRS1;MEAF6;MECOM;MORF4L1;MSL2;MTA3;NCOR2;NSD1;PADI2;PBRM1;PHF2;PHF21A;PRDM16;PRMT7;RBBP5;RCOR1;REST;SAP18;SETD2;SETDB2;SMARCA2;SMARCB1;SMARCC2;SMYD3;SUZ12;TADA1;TADA2A;USP22;YEATS2
Chromatin organization	187	76	2.87092450224241	0.44043321299639	0.623785356991821	ACTB;AEBP2;ARID4B;ASH2L;ATF7IP;BRD8;BRPF1;CHD4;EHMT1;ELP3;ELP5;ELP6;ENY2;EP300;EPC1;EZH2;GATAD2B;HAT1;HDAC3;HIST1H2AB;HIST1H2AC;HIST1H2AD;HIST1H2AJ;HIST1H2BA;HIST1H2BB;HIST1H2BM;HIST1H3I;HIST1H4C;HIST1H4J;HIST1H4K;HIST2H2AC;HIST3H2A;HIST4H4;IKBKAP;ING5;JAK2;JMJD6;KANSL3;KAT7;KAT8;KDM1B;KDM4B;KDM5B;KDM7A;KMT2C;KMT2E;MBIP;MCRS1;MEAF6;MECOM;MORF4L1;MTA1;MTA3;NCOR1;NCOR2;NSD1;PADI4;PBRM1;PHF2;PHF21A;PRMT5;RBBP4;SETD2;SMARCA2;SMARCA4;SMARCD1;SMARCE1;SMYD2;SMYD3;TADA2B;TAF5L;TBL1XR1;TRRAP;WHSC1;WHSC1L1;YEATS4
Chromosome Maintenance	68	2	3.65139129611961	0.415492957746479	0.623785356991821	ACD;TERF2IP
Chylomicron-mediated lipid transport	16	2	2.98121099067756	0.503740648379052	0.624367653738926	MTTP;P4HB
Circadian Clock	50	3	5.01408919891772	0.0950661853188929	0.384245156985485	EP300;NCOA1;NPAS2
Citric acid cycle (TCA cycle)	16	2	3.00600981833631	0.498753117206983	0.623785356991821	SDHB;SUCLA2
Class A/1 (Rhodopsin-like receptors)	0	NA	NA	NA	NA	
Class B/2 (Secretin family receptors)	42	3	3.70409267379946	0.277978339350181	0.623785356991821	CALCA;CALCB;CALCRL
Class I MHC mediated antigen processing & presentation	184	2	3.41317808547338	0.390274314214464	0.623785356991821	HLA-C;SEC24B
Clathrin derived vesicle budding	42	2	4.4596643473632	0.194513715710723	0.529820124569661	ARF1;TPD52
Cleavage of Growing Transcript in the Termination Region	30	2	1.63088003677896	0.866002214839424	0.746171194613845	CPSF1;SRSF11
CLEC7A (Dectin-1) induces NFAT activation	0	NA	NA	NA	NA	
CLEC7A (Dectin-1) signaling	57	2	5.91285920845296	0.0411471321695761	0.378971695166488	PSMD5;PSME4
Cobalamin (Cbl, vitamin B12) transport and metabolism	0	NA	NA	NA	NA	
Cohesin Loading onto Chromatin	0	NA	NA	NA	NA	
Collagen biosynthesis and modifying enzymes	52	5	6.85808591405787	0.0187032418952618	0.378971695166488	COL18A1;COL27A1;COL28A1;COLGALT1;P4HB
Collagen degradation	13	2	4.93913138669604	0.104693140794224	0.384353028118675	COL18A1;MMP9
Collagen formation	65	6	7.14254846963859	0.00842358604091456	0.378971695166488	COL18A1;COL27A1;COL28A1;COLGALT1;MMP9;P4HB
Common Pathway of Fibrin Clot Formation	20	2	2.40439255414344	0.622194513715711	0.676806433541277	F5;SERPINA5
Complement cascade	30	2	4.15850882455303	0.240648379052369	0.59985122628447	C7;C8A
Condensation of Prometaphase Chromosomes	0	NA	NA	NA	NA	
Condensation of Prophase Chromosomes	41	2	2.38222443696228	0.732004429678848	0.717318816047996	HIST1H3I;HIST1H4J
Constitutive Signaling by Aberrant PI3K in Cancer	47	4	3.71166493676108	0.276774969915764	0.623785356991821	EGF;NRG1;PDGFRB;PIK3R1
Constitutive Signaling by AKT1 E17K in Cancer	16	2	3.1899252730575	0.375451263537906	0.623785356991821	AKT1;CHUK
Constitutive Signaling by EGFRvIII	14	2	1.43901454263729	0.875586854460094	0.746799386138986	EGF;EGFR
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	16	2	1.76913890318435	0.769326683291771	0.719786172501165	EGF;PLCG1
Constitutive Signaling by NOTCH1 HD Domain Mutants	10	2	1.93083598145046	0.815060908084164	0.738787848816076	JAG1;MIB1
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	37	2	4.5973937582023	0.14560770156438	0.457247567934286	EP300;MAML3
Constitutive Signaling by NOTCH1 PEST Domain Mutants	37	3	3.84332842521019	0.258724428399519	0.623785356991821	EP300;NCOR2;SNW1
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	12	2	1.32222630263479	0.926615553121577	0.752326154722782	ANAPC4;ANAPC5
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	20	2	6.67859147747633	0.044296788482835	0.378971695166488	CCT4;CCT6A
COPII (Coat Protein 2) Mediated Vesicle Transport	58	2	3.90073664761396	0.352112676056338	0.623785356991821	F5;TRAPPC9
COPI Mediated Transport	11	2	4.08384334723029	0.353266888150609	0.623785356991821	ARCN1;ARF1
Costimulation by the CD28 family	46	3	3.71017994400866	0.276774969915764	0.623785356991821	AKT1;PPP2CA;THEM4
Creatine metabolism	0	NA	NA	NA	NA	
Creation of C4 and C2 activators	0	NA	NA	NA	NA	
CREB phosphorylation through the activation of CaMKII	16	2	1.58717756363217	0.872646733111849	0.746176001333944	ACTN2;CAMK2B
CREB phosphorylation through the activation of Ras	20	2	1.91513468169859	0.785211267605634	0.725602962534281	ACTN2;CALM3
CRMPs in Sema3A signaling	14	2	1.94926694225763	0.81063122923588	0.736994790722536	CRMP1;NRP1
Cross-presentation of soluble exogenous antigens (endosomes)	34	2	5.91285920845296	NA	NA	PSMD5;PSME4
CTLA4 inhibitory signaling	13	2	3.10731991248442	0.586932447397564	0.662981313532333	AKT1;PPP2CA
C-type lectin receptors (CLRs)	80	4	5.19146999636047	0.0818291215403129	0.378971695166488	EP300;PSMD5;PSME4;RELA
Cyclin A/B1 associated events during G2/M transition	18	2	2.83695362453257	0.451263537906137	0.623785356991821	PPP2CA;PPP2R2A
Cyclin A:Cdk2-associated events at S phase entry	48	2	4.307211311502	0.278169014084507	0.623785356991821	PSMD13;PSMD5
Cyclin D associated events in G1	23	2	2.83695362453257	0.451263537906137	0.623785356991821	PPP2CA;PPP2R2A
Cyclin E associated events during G1/S transition	47	2	4.307211311502	0.278169014084507	0.623785356991821	PSMD13;PSMD5
Cytochrome P450 - arranged by substrate type	29	2	2.2064925423037	0.672069825436409	0.703857242014269	CYP1A1;CYP2F1
Cytokine Signaling in Immune system	405	197	2.33822396948786	0.576413959085439	0.656613333454819	ACTN2;ADAR;AKAP9;ANGPT1;BLNK;BST2;BTC;BTRC;CAMK2A;CAMK2B;CAMK2D;CASP1;CBL;CD40;CD44;CHUK;CIITA;CNKSR1;CSF2RB;CSH1;DAB2IP;DUSP10;DUSP16;DUSP6;ERBB3;FGF10;FGF17;FGF20;FGF23;FGF4;FGF6;FGF8;FGFR3;FN1;FRS2;GAB2;GBP1;GBP4;GBP7;GH2;GRIN2A;GRIN2B;HERC5;HLA-C;HLA-DRB5;HRAS;ICAM1;IFIT2;IFITM2;IFITM3;IFNA10;IFNA14;IFNA16;IFNA6;IFNAR1;IFNGR2;IKBKB;IL1B;IL1R2;IL1RN;IL2RA;IL3;IL6;IL6R;IL6ST;IL7;INPP5D;IP6K2;IRAK4;IRF1;IRF4;IRF5;IRS1;IRS2;ISG15;ISG20;ITGA2B;JAK2;KBTBD7;KPNA3;KSR1;LAMTOR3;LTBR;MAP2K2;MAP3K14;MAPK1;MX2;MYD88;NCAM1;NEDD4;NF1;NOD2;NRG1;NRG3;NUP107;NUP188;NUP35;NUP37;NUP50;NUP54;NUP85;NUPL2;OAS1;OAS2;OAS3;OASL;PDGFA;PDGFB;PDGFRA;PDGFRB;PELI1;PIAS1;PIK3R1;PIK3R3;PLCG1;PML;PPM1B;PPP2CA;PPP2R1B;PPP2R5E;PPP5C;PRKACA;PRKCD;PRL;PRLR;PSMA1;PSMA3;PSMA4;PSMA6;PSMA7;PSMB10;PSMB11;PSMB4;PSMC3;PSMC5;PSMD11;PSMD12;PSMD13;PSMD2;PSMD4;PSMD8;PSME4;PSMF1;PTPN6;RAE1;RANBP2;RAP1A;RAP1B;RASA1;RASA2;RASAL1;RASGRF2;RASGRP1;RASGRP4;RELB;SAMHD1;SH2B1;SHC2;SP100;SPRED1;SPRED3;SPTA1;SPTAN1;SPTBN1;SPTBN5;SRC;STAT1;STAT5B;TAB1;TEK;TLN1;TNFRSF13C;TNFRSF1B;TNFRSF6B;TNFSF13B;TNFSF14;TOLLIP;TPR;TRAF2;TRAF3;TRAF6;TRIM17;TRIM2;TRIM21;TRIM25;TRIM34;TRIM35;TRIM45;TRIM5;TRIM6;TRIM68;TYK2;VAV1;VCL;VWF;WDR83;YWHAZ
Cytosolic sensors of pathogen-associated DNA	54	2	4.89224745032432	0.113116726835138	0.402163942791325	PRKDC;TMEM173
Cytosolic sulfonation of small molecules	14	3	2.54738480680325	0.525872442839952	0.632375390851537	PAPSS2;SULT1A1;SULT1A2
Cytosolic tRNA aminoacylation	22	2	4.66348224454443	0.154613466334165	0.462134912377077	EPRS;PPA1
DAG and IP3 signaling	21	5	2.96666062121961	0.418772563176895	0.623785356991821	ADCY1;ADCY3;ADCY8;ADCY9;PDE1C
DAP12 interactions	269	121	2.75360219519211	0.469314079422383	0.623785356991821	ACTN2;ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY7;ADCY8;ADCY9;AGO1;AGO2;AKAP9;BRAF;CALM1;CAMK2B;CAMK2G;CAMK4;CD19;CD300E;CD300LB;CLEC5A;CNKSR1;CUL3;DUSP10;DUSP16;DUSP8;EGFR;ERBB3;FGA;FGF10;FGF20;FGF3;FGFR3;FGFR4;FN1;FRS2;GRIN2C;IL2RB;IL3;JAK2;KIR2DS4;KIT;KLRC2;KRAS;KSR1;MAP2K2;MAP3K11;MAPK1;MOV10;NCAM1;NEFL;NF1;NRG1;NRG2;NRG3;PDE1A;PDE1B;PDE1C;PDGFA;PDGFRA;PDGFRB;PHB;PIK3CA;PIK3R2;PIK3R3;PLCG1;PLCG2;PPP2CA;PRKCD;PSMA1;PSMA4;PSMA6;PSMA8;PSMB4;PSMC1;PSMC4;PSMC5;PSMC6;PSMD1;PSMD13;PSMD14;PSMD3;PSMD5;PSMD6;PSME2;PSME4;PTEN;PTK2;RAF1;RAP1A;RAP1B;RASA1;RASAL1;RASAL2;RASGEF1A;RASGRF1;RASGRF2;RASGRP3;SIGLEC15;SOS1;SPRED1;SPRED3;SPTA1;SPTB;SPTBN1;SPTBN2;SPTBN4;SPTBN5;SYK;TEK;TLN1;TNRC6A;TNRC6B;TNRC6C;TYROBP;UBA52;VAV2;VAV3;VCL;VWF;YWHAB
DAP12 signaling	262	3	3.77188174463747	0.26835138387485	0.623785356991821	AKT1;CHUK;THEM4
DARPP-32 events	19	3	3.22203016194303	0.365824308062575	0.623785356991821	PDE4B;PPP1R1B;PPP2CA
DCC mediated attractive signaling	11	2	2.0888666855313	0.830230010952902	0.739574260943796	ABLIM1;TRIO
Deactivation of the beta-catenin transactivating complex	31	2	3.11795050698663	0.38748495788207	0.623785356991821	TCF7;TLE2
Deadenylation-dependent mRNA decay	44	2	2.97009461376052	0.507481296758105	0.626576753130214	LSM5;PATL1
Deadenylation of mRNA	22	2	2.66602765550678	0.637323943661972	0.684446474052152	CNOT1;CNOT8
Death Receptor Signalling	36	2	2.43486079247241	0.619700748129676	0.676271791495362	CHUK;USP2
Dectin-1 mediated noncanonical NF-kB signaling	43	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Defects in vitamin and cofactor metabolism	0	NA	NA	NA	NA	
Defensins	0	NA	NA	NA	NA	
Degradation of AXIN	40	2	5.91285920845296	0.102957283680175	0.384245156985485	PSMD5;PSME4
Degradation of beta-catenin by the destruction complex	59	5	6.19445173982559	0.0563380281690141	0.378971695166488	CTBP2;CTNNB1;PSMD5;PSME4;TCF7
Degradation of DVL	42	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Degradation of GLI1 by the proteasome	44	3	6.42723541952312	0.0598006644518272	0.378971695166488	ITCH;PSMD5;PSME4
Degradation of GLI2 by the proteasome	44	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Degradation of the extracellular matrix	67	6	5.99511809444712	0.036101083032491	0.378971695166488	COL18A1;LAMA3;LAMA5;MMP14;MMP9;NID1
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	12	2	3.51069116177634	0.485049833887043	0.623785356991821	CACNA1A;CACNA2D3
Depolymerisation of the Nuclear Lamina	13	2	0.738369860478653	0.928927680798005	0.75252264577362	CTDNEP1;LPIN3
Deposition of new CENPA-containing nucleosomes at the centromere	45	5	2.18487569238854	0.819277108433735	0.738888494076511	CENPM;CENPP;HIST1H2AJ;HIST1H4J;HIST1H4K
Dermatan sulfate biosynthesis	0	NA	NA	NA	NA	
Detoxification of Reactive Oxygen Species	0	NA	NA	NA	NA	
Developmental Biology	0	NA	NA	NA	NA	
DEx/H-box helicases activate type I IFN and inflammatory cytokines production	0	NA	NA	NA	NA	
Dimerization of procaspase-8	11	2	1.84045684203284	0.7981220657277	0.729747058319346	CASP8;FAS
Disassembly of the destruction complex and recruitment of AXIN to the membrane	20	3	3.40271145373282	0.392768079800499	0.623785356991821	AXIN1;CSNK1G2;PPP2CA
Disease	367	133	3.03143070224209	0.401925391095066	0.623785356991821	ADAM10;ANTXR2;AP2B1;ARF1;ATP6V1H;CCNH;CD19;CD4;CD86;CD8B;CD9;CDK8;CDK9;CHMP4A;CHMP5;CNTRL;CTDP1;CUX1;DLL4;EGF;EP300;ERBB2;ERBB3;ERBB4;ERCC2;ERLEC1;FGFR1;FGFR2;FGFR3;FURIN;GAB2;GRB2;GRSF1;GTF2A1;GTF2H1;GTF2H3;HDAC4;HDAC5;HSP90AA1;JAG1;JAG2;KAT2A;KAT2B;KIT;KL;KPNA4;MAML1;MAML3;MIB1;MYC;MYO18A;NCBP2;NCOR2;NEDD4L;NELFCD;NOTCH1;NRG1;NRG2;NUP107;NUP188;NUP205;NUP35;NUP54;NUP98;NUPL2;PDCD6IP;PDGFRB;PIK3CA;POLR2A;POLR2C;POLR2I;POLR2L;POM121;PSIP1;PSMA1;PSMA5;PSMA6;PSMB10;PSMB3;PSMB4;PSMB6;PSMC5;PSMC6;PSMD1;PSMD12;PSMD14;PSMD2;PSMD4;PSME4;RAN;RANBP1;RANBP2;RANGAP1;RNF103-CHMP3;RNMT;RPL11;RPL18;RPL18A;RPL21;RPL26;RPL31;RPL37A;RPL6;RPL7A;RPL8;RPL9;RPLP2;RPS21;RPS23;RPS24;RPS25;RPS26;RPS3;RPS3A;RPSA;SNW1;SOS1;STAT5A;STAT5B;SUPT16H;SUPT4H1;TAF3;TAF5;TBL1XR1;TCEB2;TCEB3;TPR;TSG101;UBA52;VCP;VPS28;VPS4A;ZMYM2
Diseases associated with the TLR signaling cascade	10	3	-0.684040059420006	0.997506234413965	0.766645397684284	MYD88;TLR10;TLR4
Diseases of Immune System	10	3	-0.716605093468606	0.997506234413965	0.766645397684284	MYD88;TLR10;TLR2
Diseases of metabolism	0	NA	NA	NA	NA	
Diseases of signal transduction	173	43	3.60233406038681	0.296028880866426	0.623785356991821	APH1B;CD19;EGF;EP300;ERBB3;FGF10;FGF23;FGF3;GAB2;GRB2;HDAC11;HDAC3;HDAC4;HDAC5;HDAC7;HDAC9;IRS2;JAG1;JAG2;KIT;KLB;MAML3;MIB1;NCOR2;NOTCH1;NRAS;PDGFA;PDGFRA;PDGFRB;PIK3R1;PLCG1;PSMA4;PSMB11;PSMC6;PSMD13;PSMD6;PSMD9;PSME4;PSMF1;SEL1L;SNW1;UBA52;VCP
Dissolution of Fibrin Clot	0	NA	NA	NA	NA	
DNA Damage Bypass	35	2	2.37079136895453	0.698356807511737	0.717318816047996	RPA3;USP10
DNA Damage Recognition in GG-NER	27	2	4.26279463120117	0.288732394366197	0.623785356991821	ACTR5;INO80
DNA Damage/Telomere Stress Induced Senescence	45	2	3.65139129611961	0.330423940149626	0.623785356991821	ACD;TERF2IP
DNA Double-Strand Break Repair	127	30	3.16872290523203	0.446384039900249	0.623785356991821	BABAM1;BAZ1B;DCLRE1C;EXO1;EYA1;EYA2;FAM175A;FEN1;HIST1H2BK;HIST1H2BM;HIST1H4J;HIST4H4;LIG3;LIG4;MAPK8;MRE11A;MUS81;PARP2;POLE;POLM;POLQ;PRKDC;RAD50;RAD51AP1;RAD9B;RIF1;RNF4;RPA1;UBA52;UIMC1
DNA Double Strand Break Response	50	2	2.99067157818023	0.619047619047619	0.676271791495362	HIST1H4J;MAPK8
DNA methylation	33	2	3.90183407120291	0.396456256921373	0.623785356991821	DNMT3L;HIST1H3I
DNA Repair	229	104	2.12400240729704	0.651022864019254	0.694740205027063	ACTB;ACTL6A;ACTR5;ATM;ATR;ATRIP;BARD1;BRCA2;BRE;CDK7;CHD1L;CHEK2;COPS3;COPS5;COPS7A;COPS7B;COPS8;DCLRE1B;DCLRE1C;DNA2;EME1;EP300;ERCC2;ERCC3;ERCC4;ERCC5;ERCC6;ERCC8;EXO1;EYA1;EYA2;FAM175A;FAN1;FANCC;FANCI;FEN1;GPS1;GTF2H1;GTF2H3;HIST1H2BA;HIST1H2BC;HIST1H2BE;HIST1H2BJ;HIST1H2BM;HIST1H4K;HIST2H2BE;HMGN1;INO80;INO80C;INO80D;ISY1;KAT5;LIG1;MAD2L2;MAPK8;MCRS1;MLH1;MRE11A;MUS81;NEIL2;PARP2;PAXIP1;PIAS1;PIAS4;POLD1;POLE;POLK;POLQ;POLR2A;POLR2C;POLR2H;POLR2K;POLR2L;PPP4C;PPP4R2;PRKDC;RAD18;RAD50;RAD51AP1;RAD51B;RAD51D;RAD52;RAD9B;RFC2;RIF1;RNF111;RNF4;RPA2;SPRTN;STRA13;TDP2;TIPIN;TOP3A;TOPBP1;UIMC1;USP43;UVSSA;WHSC1;WRN;XPC;XRCC1;XRCC3;ZBTB32;ZNF830
DNA Replication	80	8	5.10751720043945	0.102244389027431	0.384245156985485	FEN1;MCM10;ORC1;PRIM1;PSMA1;PSMD13;PSMD5;PSME4
DNA Replication Pre-Initiation	63	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
DNA strand elongation	25	2	1.72540494429027	0.778054862842893	0.724266648168417	FEN1;PRIM1
Dopamine Neurotransmitter Release Cycle	19	2	3.17118636162121	0.634173055859803	0.683763280217943	PPFIA3;SYN3
Downregulation of ERBB2:ERBB3 signaling	0	NA	NA	NA	NA	
Downregulation of SMAD2/3:SMAD4 transcriptional activity	17	2	2.22074100434503	0.670822942643391	0.703857242014269	NCOR2;SMAD3
Downregulation of TGF-beta receptor signaling	21	5	0.389448622019682	0.952618453865337	0.753901725439927	PPP1CC;SMAD3;SMURF1;TGFB1;UBA52
Downstream signaling events of B Cell Receptor (BCR)	123	7	5.58409281188635	0.0469314079422383	0.378971695166488	AKT1;CHUK;NFKBIA;PSMD13;PSMD5;PSME4;THEM4
Downstream signaling of activated FGFR1	250	94	3.30222510370923	0.34777376654633	0.623785356991821	ACTN2;ADCY3;ADCY8;ADCY9;ADRBK1;AGO4;ARRB1;BTC;CALM1;CAMK2A;CAMK2G;CNKSR1;CSK;DAB2IP;DUSP1;DUSP10;DUSP16;DUSP7;EGF;FGF10;FGF23;FGF6;FGFR2;GAB1;GRB2;HRAS;IL17RD;IL3;IQGAP1;IRS2;JAK2;KIT;KLB;KSR1;LAT;MAP2K2;MAPK1;MARK3;NCAM1;NF1;NRG1;NRG3;PAQR3;PDE1C;PDGFRA;PDGFRB;PIK3CA;PIK3R3;PPP2CA;PPP2R1B;PPP5C;PSMA1;PSMA6;PSMA8;PSMB10;PSMB4;PSMC4;PSMC6;PSMD13;PSMD14;PSMD2;PSMD3;PSMD5;PSMD8;PSMD9;PSME4;PSMF1;PTEN;RAF1;RAP1A;RAP1B;RASA2;RASAL1;RASAL2;RASGRF1;RASGRF2;RASGRP1;RASGRP3;RASGRP4;SHC3;SOS1;SPTA1;SPTB;SPTBN1;SPTBN2;SPTBN5;SRC;TLN1;TNRC6B;TNRC6C;TRAT1;UBA52;VAV1;VWF
Downstream signaling of activated FGFR2	250	85	3.22157078421251	0.365824308062575	0.623785356991821	ACTN2;ADCY1;ADCY3;ADCY6;ADCY8;ADCY9;ADRBK1;AGO2;AKAP9;ANGPT1;CALM1;CALM3;CD19;CD80;CD86;CNKSR1;CUL3;DAB2IP;DLG4;DUSP10;DUSP16;DUSP5;DUSP6;EGFR;ERBB3;FGF10;FGF20;FGFR3;GRB2;GRIN2A;GRIN2C;IL2RB;KIT;MAP2K1;MAP2K2;MAPK3;NF1;NRAS;NRG1;NRG2;PDE1B;PDE1C;PDGFB;PDGFRA;PDGFRB;PIK3CA;PLCG1;PPP2CA;PPP2R5C;PRKCA;PSMA3;PSMA6;PSMA7;PSMB10;PSMB11;PSMC3;PSMC6;PSMD13;PSMD4;PSMD5;PSMD9;PSME4;PSMF1;PTEN;RAP1A;RAP1B;RASA2;RASA3;RASAL1;RASAL3;RASGRP1;RASGRP3;SPRED1;SPRED3;SPTAN1;SPTB;SPTBN1;TLN1;TNRC6A;TNRC6B;TNRC6C;TRAT1;VAV1;VWF;YWHAB
Downstream signaling of activated FGFR3	250	2	3.1899252730575	0.375451263537906	0.623785356991821	AKT1;CHUK
Downstream signaling of activated FGFR4	250	3	3.77188174463747	0.26835138387485	0.623785356991821	AKT1;CHUK;THEM4
Downstream signal transduction	258	84	3.03372566194532	0.401925391095066	0.623785356991821	ACTN2;ADCY1;ADCY3;ADCY5;ADCY9;ANGPT1;ARRB1;CALM1;CALM3;CD19;CD86;CNKSR1;CUL3;DAB2IP;DLG4;DUSP10;DUSP16;DUSP4;ERBB4;FGF3;FGF4;FGF9;GAB1;GRIN2A;HRAS;IL2RB;IRS1;ITGA2B;ITGB3;KIT;KLB;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK3;MARK3;MOV10;NCAM1;NF1;NRAS;NRG3;PDGFA;PDGFRB;PIK3R2;PIK3R3;PLCG1;PPP5C;PSMA5;PSMA7;PSMA8;PSMB10;PSMB6;PSMC6;PSMD11;PSMD13;PSMD2;PSMD3;PSMD5;PSMD8;PSMD9;PSME4;PSMF1;PTEN;RAP1B;RASA2;RASA3;RASAL1;RASAL3;RASGRP1;RASGRP4;SHC2;SPRED1;SPTA1;SPTB;SPTBN1;SPTBN2;SPTBN4;STAT1;STAT5A;TNRC6A;TNRC6B;TNRC6C;VAV1
Downstream TCR signaling	58	2	5.91285920845296	0.0411471321695761	0.378971695166488	PSMD5;PSME4
DSCAM interactions	0	NA	NA	NA	NA	
Dual Incision in GG-NER	29	2	3.50561956239496	0.550930996714129	0.642778361174632	GTF2H3;PARP2
Dual incision in TC-NER	50	2	4.82138838570906	0.265060240963855	0.623785356991821	EP300;GTF2H3
E2F mediated regulation of DNA replication	24	2	1.66441522144012	0.767749699157641	0.719786172501165	PPP2CA;PPP2R1B
Early Phase of HIV Life Cycle	0	NA	NA	NA	NA	
ECM proteoglycans	41	3	5.41583054050466	0.0577617328519856	0.378971695166488	LAMA3;LAMA5;LAMB2
EGFR downregulation	20	2	4.72934866873689	0.236987818383167	0.595118764674186	EGF;EPS15L1
EGFR interacts with phospholipase C-gamma	23	6	3.01450763367185	0.404332129963899	0.623785356991821	ADCY1;ADCY3;ADCY5;ADCY8;ADCY9;CALM3
Elastic fibre formation	29	3	2.7361481112219	0.474127557160048	0.623785356991821	ITGA8;ITGB5;TGFB1
Elongation arrest and recovery	26	2	3.31777023908039	NA	NA	POLR2A;POLR2L
Endogenous sterols	0	NA	NA	NA	NA	
Endosomal Sorting Complex Required For Transport (ESCRT)	22	5	3.0572757543554	0.556338028169014	0.64335992084657	CHMP4A;STAM;TSG101;UBA52;VPS25
Energy dependent regulation of mTOR by LKB1-AMPK	20	2	3.71223134585423	0.395539906103286	0.623785356991821	MTOR;PRKAA1
eNOS activation and regulation	0	NA	NA	NA	NA	
EPHA-mediated growth cone collapse	29	3	3.27393841774354	0.423940149625935	0.623785356991821	EPHA5;MYH14;RHOA
EPHB-mediated forward signaling	34	2	3.43356784268269	0.470657276995305	0.623785356991821	ACTB;ITSN1
EPH-ephrin mediated repulsion of cells	43	5	3.75319780402528	0.312967581047382	0.623785356991821	EPHA1;EPHA5;EPHB2;MMP9;VAV2
EPH-Ephrin signaling	81	8	4.62209675376172	0.164588528678304	0.487634716540498	ACTB;EPHB2;MMP9;MYH14;PAK2;RASA1;ROCK2;VAV2
Ephrin signaling	15	2	2.63029902641788	0.685492801771872	0.710712494426071	EPHB2;PAK2
Epigenetic regulation of gene expression	75	15	4.39842948612505	0.259389671361502	0.623785356991821	AEBP2;ARID4B;CDK7;DNMT3L;ERCC2;GTF2H3;HIST1H3I;HIST1H4J;PHF19;POLR2K;POLR2L;SIN3B;SIRT1;TAF1B;TWISTNB
ERK/MAPK targets	13	2	1.80113132510432	0.743682310469314	0.717318816047996	MAPK1;PPP2CA
ERKs are inactivated	0	NA	NA	NA	NA	
ER-Phagosome pathway	38	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
ER Quality Control Compartment (ERQC)	10	3	3.7612945055747	0.310473815461347	0.623785356991821	EDEM3;MAN1B1;UGGT2
ER to Golgi Anterograde Transport	60	2	3.90073664761396	0.352112676056338	0.623785356991821	F5;TRAPPC9
Establishment of Sister Chromatid Cohesion	0	NA	NA	NA	NA	
Ethanol oxidation	0	NA	NA	NA	NA	
Eukaryotic Translation Elongation	58	2	5.78067631052621	0.123767798466594	0.418030116799156	RPL31;RPS3A
Eukaryotic Translation Initiation	79	5	6.60805719781905	0.0487264673311185	0.378971695166488	EIF2B1;EIF2S2;EIF3F;RPL31;RPS3A
Eukaryotic Translation Termination	55	2	5.78067631052621	0.123767798466594	0.418030116799156	RPL31;RPS3A
Extension of Telomeres	16	2	1.70203691529085	0.760529482551143	0.719786172501165	FEN1;POLD1
Extracellular matrix organization	215	82	5.36323598693954	0.062575210589651	0.378971695166488	A2M;ACTN1;ADAM10;ADAM15;ADAMTS4;ADAMTS5;AGRN;BCAN;CD151;CD47;CDH1;CEACAM6;COL13A1;COL18A1;COL1A1;COL22A1;COL23A1;COL26A1;COL27A1;COL28A1;COL2A1;COL4A2;COL4A3;COL5A3;COL6A1;COL6A2;COL7A1;COLGALT1;COMP;CTSB;CTSD;DAG1;ELN;F11R;FBLN1;FBN1;FBN2;FBN3;FGG;FURIN;ICAM3;ITGA2;ITGA2B;ITGA4;ITGA5;ITGA6;ITGA8;ITGB1;ITGB2;ITGB6;ITGB7;ITGB8;JAM3;LAMA3;LAMA5;LAMC3;LOXL4;LRP4;MATN1;MATN4;MFAP2;MFAP5;MMP3;MMP9;MUSK;NCAM1;NCAN;NID1;NID2;PLOD3;PRKCA;PSEN1;PTPRS;SDC2;SDC3;SDC4;SERPINE1;SERPINH1;TLL1;TNC;TNN;VTN
